Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
ALT-200000,X,Liverpool,Normal,Male,Bakery,3.06,5,0.77,16.07,14/02/2025,14:22:33,Debit Card,15.3,0.11,1.68,6.3
ALT-200001,Y,Sheffield,Member,Male,Fresh Produce,7.35,4,1.47,30.87,25/02/2025,14:04:49,Cash,29.4,0.08,2.35,8.9
ALT-200002,X,Liverpool,Member,Male,Bakery,2.03,7,0.71,14.92,02/10/2025,13:07:41,Credit Card,14.21,0.11,1.56,5.9
ALT-200003,Z,Birmingham,Member,Male,Snacks,2.87,2,0.29,6.03,24/06/2025,16:42:05,Credit Card,5.74,0.17,0.98,8.2
ALT-200004,X,Liverpool,Member,Female,Bakery,2.78,2,0.28,5.84,11/03/2025,19:27:44,Cash,5.56,0.11,0.61,6.7
ALT-200005,Y,Sheffield,Normal,Male,Fresh Produce,4.48,4,0.9,18.82,26/12/2025,20:01:43,Debit Card,17.92,0.08,1.43,7.2
ALT-200006,X,Liverpool,Member,Female,Personal Care,14.21,6,4.26,89.52,01/01/2025,18:01:51,Cash,85.26,0.21,17.9,4.6
ALT-200007,Y,Sheffield,Member,Female,Dairy & Eggs,6.25,9,2.81,59.06,02/11/2025,14:34:03,Credit Card,56.25,0.07,3.94,7.5
ALT-200008,Y,Sheffield,Normal,Female,Beverages,8.97,9,4.04,84.77,04/01/2025,18:57:06,Cash,80.73,0.13,10.49,6.6
ALT-200009,Y,Sheffield,Member,Male,Beverages,11.92,13,7.75,162.71,22/02/2025,13:45:22,Debit Card,154.96,0.13,20.14,5.3
ALT-200010,X,Liverpool,Member,Female,Health & Wellness,8.5,5,2.12,44.62,08/12/2025,12:04:30,Mobile Wallet,42.5,0.24,10.2,7.3
ALT-200011,X,Liverpool,Member,Female,Beverages,5.93,7,2.08,43.59,11/01/2025,14:44:20,Mobile Wallet,41.51,0.13,5.4,7.9
ALT-200012,Y,Sheffield,Member,Male,Fresh Produce,2.53,4,0.51,10.63,21/10/2025,13:45:13,Credit Card,10.12,0.08,0.81,5.9
ALT-200013,Y,Sheffield,Member,Male,Health & Wellness,19.55,2,1.96,41.06,29/08/2025,18:07:13,Credit Card,39.1,0.24,9.38,7.0
ALT-200014,X,Liverpool,Normal,Male,Dairy & Eggs,3.78,2,0.38,7.94,25/06/2025,13:17:24,Mobile Wallet,7.56,0.07,0.53,7.2
ALT-200015,Z,Birmingham,Member,Male,Bakery,7.21,3,1.08,22.71,16/04/2025,14:54:55,Debit Card,21.63,0.11,2.38,9.5
ALT-200016,Z,Birmingham,Member,Male,Beverages,10.54,5,2.64,55.34,07/01/2025,16:58:58,Credit Card,52.7,0.13,6.85,7.9
ALT-200017,Y,Sheffield,Member,Male,Snacks,1.9,4,0.38,7.98,17/12/2025,10:05:48,Debit Card,7.6,0.17,1.29,6.4
ALT-200018,Z,Birmingham,Normal,Male,Baby Products,7.13,1,0.36,7.49,24/09/2025,15:28:02,Debit Card,7.13,0.18,1.28,5.8
ALT-200019,Z,Birmingham,Normal,Male,Personal Care,20.88,13,13.57,285.01,11/07/2025,12:02:45,Credit Card,271.44,0.21,57.0,4.8
ALT-200020,Z,Birmingham,Member,Female,Snacks,3.7,4,0.74,15.54,27/11/2025,16:35:33,Debit Card,14.8,0.17,2.52,8.2
ALT-200021,X,Liverpool,Member,Female,Health & Wellness,5.56,2,0.56,11.68,07/09/2025,14:36:44,Credit Card,11.12,0.24,2.67,7.2
ALT-200022,Z,Birmingham,Member,Male,Beverages,13.84,1,0.69,14.53,29/03/2025,11:55:14,Cash,13.84,0.13,1.8,8.5
ALT-200023,Y,Sheffield,Member,Male,Fresh Produce,5.64,3,0.85,17.77,11/10/2025,18:46:20,Mobile Wallet,16.92,0.08,1.35,4.9
ALT-200024,Y,Sheffield,Member,Female,Snacks,2.91,3,0.44,9.17,22/08/2025,17:39:26,Credit Card,8.73,0.17,1.48,5.8
ALT-200025,Y,Sheffield,Normal,Male,Frozen Foods,8.45,1,0.42,8.87,09/01/2025,10:00:35,Debit Card,8.45,0.1,0.84,8.9
ALT-200026,X,Liverpool,Normal,Female,Personal Care,18.7,1,0.94,19.64,18/11/2025,16:37:01,Debit Card,18.7,0.21,3.93,6.6
ALT-200027,Y,Sheffield,Member,Female,Dairy & Eggs,5.59,1,0.28,5.87,30/06/2025,16:30:55,Mobile Wallet,5.59,0.07,0.39,8.6
