Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
THIRD-300000,M,Nottingham,Normal,Male,Bakery,3.18,5,0.77,16.87,14/02/2025,14:22:33,Debit Card,16.07,0.11,1.78,6.3
THIRD-300001,N,Leicester,Member,Male,Fresh Produce,7.64,4,1.47,32.41,25/02/2025,14:04:49,Cash,30.87,0.08,2.49,8.9
THIRD-300002,M,Nottingham,Member,Male,Bakery,2.11,7,0.71,15.67,02/10/2025,13:07:41,Credit Card,14.92,0.11,1.65,5.9
THIRD-300003,P,Coventry,Member,Male,Snacks,2.98,2,0.29,6.33,24/06/2025,16:42:05,Credit Card,6.03,0.17,1.04,8.2
THIRD-300004,M,Nottingham,Member,Female,Bakery,2.89,2,0.28,6.13,11/03/2025,19:27:44,Cash,5.84,0.11,0.65,6.7
THIRD-300005,N,Leicester,Normal,Male,Fresh Produce,4.66,4,0.9,19.76,26/12/2025,20:01:43,Debit Card,18.82,0.08,1.52,7.2
THIRD-300006,M,Nottingham,Member,Female,Personal Care,14.78,6,4.26,94.0,01/01/2025,18:01:51,Cash,89.52,0.21,18.97,4.6
THIRD-300007,N,Leicester,Member,Female,Dairy & Eggs,6.5,9,2.81,62.01,02/11/2025,14:34:03,Credit Card,59.06,0.07,4.18,7.5
THIRD-300008,N,Leicester,Normal,Female,Beverages,9.33,9,4.04,89.01,04/01/2025,18:57:06,Cash,84.77,0.13,11.12,6.6
THIRD-300009,N,Leicester,Member,Male,Beverages,12.4,13,7.75,170.85,22/02/2025,13:45:22,Debit Card,162.71,0.13,21.35,5.3
THIRD-300010,M,Nottingham,Member,Female,Health & Wellness,8.84,5,2.12,46.85,08/12/2025,12:04:30,Mobile Wallet,44.62,0.24,10.81,7.3
THIRD-300011,M,Nottingham,Member,Female,Beverages,6.17,7,2.08,45.77,11/01/2025,14:44:20,Mobile Wallet,43.59,0.13,5.72,7.9
THIRD-300012,N,Leicester,Member,Male,Fresh Produce,2.63,4,0.51,11.16,21/10/2025,13:45:13,Credit Card,10.63,0.08,0.86,5.9
THIRD-300013,N,Leicester,Member,Male,Health & Wellness,20.33,2,1.96,43.11,29/08/2025,18:07:13,Credit Card,41.06,0.24,9.94,7.0
THIRD-300014,M,Nottingham,Normal,Male,Dairy & Eggs,3.93,2,0.38,8.34,25/06/2025,13:17:24,Mobile Wallet,7.94,0.07,0.56,7.2
THIRD-300015,P,Coventry,Member,Male,Bakery,7.5,3,1.08,23.85,16/04/2025,14:54:55,Debit Card,22.71,0.11,2.52,9.5
THIRD-300016,P,Coventry,Member,Male,Beverages,10.96,5,2.64,58.11,07/01/2025,16:58:58,Credit Card,55.34,0.13,7.26,7.9
THIRD-300017,N,Leicester,Member,Male,Snacks,1.98,4,0.38,8.38,17/12/2025,10:05:48,Debit Card,7.98,0.17,1.37,6.4
THIRD-300018,P,Coventry,Normal,Male,Baby Products,7.42,1,0.36,7.86,24/09/2025,15:28:02,Debit Card,7.49,0.18,1.36,5.8
THIRD-300019,P,Coventry,Normal,Male,Personal Care,21.72,13,13.57,299.26,11/07/2025,12:02:45,Credit Card,285.01,0.21,60.42,4.8
THIRD-300020,P,Coventry,Member,Female,Snacks,3.85,4,0.74,16.32,27/11/2025,16:35:33,Debit Card,15.54,0.17,2.67,8.2
THIRD-300021,M,Nottingham,Member,Female,Health & Wellness,5.78,2,0.56,12.26,07/09/2025,14:36:44,Credit Card,11.68,0.24,2.83,7.2
THIRD-300022,P,Coventry,Member,Male,Beverages,14.39,1,0.69,15.26,29/03/2025,11:55:14,Cash,14.53,0.13,1.91,8.5
THIRD-300023,N,Leicester,Member,Male,Fresh Produce,5.87,3,0.85,18.66,11/10/2025,18:46:20,Mobile Wallet,17.77,0.08,1.43,4.9
THIRD-300024,N,Leicester,Member,Female,Snacks,3.03,3,0.44,9.63,22/08/2025,17:39:26,Credit Card,9.17,0.17,1.57,5.8
THIRD-300025,N,Leicester,Normal,Male,Frozen Foods,8.79,1,0.42,9.31,09/01/2025,10:00:35,Debit Card,8.87,0.1,0.89,8.9
THIRD-300026,M,Nottingham,Normal,Female,Personal Care,19.45,1,0.94,20.62,18/11/2025,16:37:01,Debit Card,19.64,0.21,4.17,6.6
THIRD-300027,N,Leicester,Member,Female,Dairy & Eggs,5.81,1,0.28,6.16,30/06/2025,16:30:55,Mobile Wallet,5.87,0.07,0.41,8.6
THIRD-300028,M,Nottingham,Normal,Male,Beverages,14.7,2,1.41,31.15,30/09/2025,20:49:00,Mobile Wallet,29.67,0.13,3.89,6.9
THIRD-300029,P,Coventry,Member,Female,Baby Products,27.42,1,1.32,29.07,24/11/2025,14:07:13,Credit Card,27.69,0.18,5.04,4.0
THIRD-300030,N,Leicester,Member,Male,Household,16.62,6,4.79,105.7,19/11/2025,15:13:30,Cash,100.67,0.19,19.31,6.1
THIRD-300031,P,Coventry,Member,Female,Fresh Produce,4.92,8,1.89,41.72,06/10/2025,12:55:57,Mobile Wallet,39.73,0.08,3.21,6.6
THIRD-300032,N,Leicester,Normal,Female,Beverages,12.77,5,3.07,67.69,20/03/2025,17:14:47,Debit Card,64.47,0.13,8.46,7.3
