Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
INV-100000,A,Manchester,Member,Female,Personal Care,16.72,2,1.67,35.11,21/05/2025,10:23:52,Cash,33.44,0.2,6.69,8.7
INV-100001,B,Salford,Member,Female,Dairy & Eggs,6.11,10,3.06,64.16,13/03/2025,21:32:11,Cash,61.1,0.08,4.89,7.8
INV-100002,A,Manchester,Normal,Female,Health & Wellness,13.06,5,3.27,68.57,30/10/2025,13:15:14,Cash,65.3,0.22,14.37,8.0
INV-100003,D,Bradford,Member,Female,Household,19.97,4,3.99,83.87,16/01/2025,17:08:38,Mobile Wallet,79.88,0.18,14.38,6.7
INV-100004,A,Manchester,Member,Female,Health & Wellness,35.93,7,12.58,264.09,30/04/2025,10:19:27,Credit Card,251.51,0.22,55.33,5.8
INV-100005,A,Manchester,Member,Female,Bakery,10.9,2,1.09,22.89,29/11/2025,13:05:53,Debit Card,21.8,0.1,2.18,6.6
INV-100006,D,Bradford,Member,Female,Snacks,0.69,9,0.31,6.52,18/08/2025,14:35:13,Credit Card,6.21,0.15,0.93,6.0
INV-100007,C,Leeds,Member,Female,Health & Wellness,33.08,8,13.23,277.87,23/03/2025,16:23:25,Debit Card,264.64,0.22,58.22,8.3
INV-100008,D,Bradford,Normal,Male,Health & Wellness,11.86,1,0.59,12.45,23/05/2025,14:00:43,Cash,11.86,0.22,2.61,7.3
INV-100009,B,Salford,Normal,Female,Frozen Foods,17.97,7,6.29,132.08,22/06/2025,19:11:33,Mobile Wallet,125.79,0.11,13.84,5.6
INV-100010,A,Manchester,Member,Female,Household,9.62,3,1.44,30.3,14/07/2025,17:26:34,Debit Card,28.86,0.18,5.19,5.6
INV-100011,A,Manchester,Normal,Male,Fresh Produce,9.98,2,1.0,20.96,26/06/2025,09:14:14,Credit Card,19.96,0.09,1.8,6.5
INV-100012,C,Leeds,Member,Female,Bakery,1.33,5,0.33,6.98,24/08/2025,15:29:36,Credit Card,6.65,0.1,0.67,6.4
